
════════════════════════════════════════════════════════════
  Server started at 2026-02-23 20:42:49
  PID will be updated below once the process is known
════════════════════════════════════════════════════════════
  PID: 93351
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Started server process [93351]
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Waiting for application startup.
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Application startup complete.
2026-02-23 20:42:50 | ERROR    | N/A                                  | uvicorn.error | [Errno 48] error while attempting to bind on address ('0.0.0.0', 8004): address already in use
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Waiting for application shutdown.
2026-02-23 20:42:50 | INFO     | N/A                                  | uvicorn.error | Application shutdown complete.
Database initialized successfully with DDL from /Users/vipinkp/PycharmProjects/Liquidity_DataPipeline/docker/init_tables.sql
Database connection pool disposed

════════════════════════════════════════════════════════════
  Server started at 2026-02-23 20:43:57
  PID will be updated below once the process is known
════════════════════════════════════════════════════════════
  PID: 93432
2026-02-23 20:44:49 | INFO     | 62c607d8-8c16-4368-913f-6d32ea76c6af | backend.app.services.revenue_service | Total load_to_database time: 46.81s
2026-02-23 20:44:50 | INFO     | 62c607d8-8c16-4368-913f-6d32ea76c6af | backend.app.services.revenue_service | GOLDEN zone: DB upsert completed in 47.06s
2026-02-23 20:44:50 | INFO     | 62c607d8-8c16-4368-913f-6d32ea76c6af | backend.app.services.revenue_service | Pipeline completed in 50.29s
2026-02-23 20:44:50 | INFO     | N/A                                  | uvicorn.access | 127.0.0.1:63844 - "POST /revenue HTTP/1.1" 200
2026-02-23 20:44:50 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | Pipeline started — Read 491981 rows from monthly_expenses.csv
2026-02-23 20:44:52 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | BRONZE write + preprocess done in 1.64s
2026-02-23 20:44:52 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service |   Known company_ids in DB: 20000
2026-02-23 20:44:52 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service |   Expense quarantine [SUPERSEDED_BY_CORRECTION]: 11975 rows
2026-02-23 20:44:52 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service |   Expense quarantine [NEGATIVE_EXPENSE]: 150 rows
2026-02-23 20:44:52 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service |   Expense orphan rows: 12125
2026-02-23 20:44:52 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service |   Expense clean rows:  479856
2026-02-23 20:44:52 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | Cleanse — clean: 479856, orphan: 12125
2026-02-23 20:44:53 | INFO     | 32a74733-a477-49ce-8b6a-3f26167666e4 | backend.app.services.expense_service | SILVER write done in 1.21s
